customer_id,first_name,last_name,email,country,signup_date,lifetime_spend,purchase_frequency
CID078,Julia,Faria,julia.faria@azure.com,Portugal,2023-05-20,2035.15,10
CID079,Gabriel,Fernandes,gabriel.fernandes@gmail.com,Brazil,2022-08-28,2415.8,11
CID080,Frank,Ferreira,frank.ferreira@hotmail.com,USA,2023-01-04,2135.2,10
CID081,Rui,Figueiredo,rui.figueiredo@azure.com,Italy,2022-06-15,2785.4,12
CID082,Laura,Fonseca,laura.fonseca@gmail.com,Germany,2023-06-29,1825.1,10
CID083,Eva,Fontes,eva.fontes@hotmail.com,France,2022-05-11,2625.3,12
CID084,Julia,Fraga,julia.fraga@azure.com,Portugal,2023-07-13,1895.55,10
CID085,Gabriel,Freitas,gabriel.freitas@gmail.com,Brazil,2022-02-18,2895.6,12
CID086,Frank,Furtado,frank.furtado@hotmail.com,USA,2023-02-14,2045.2,10
CID087,Rui,Galvão,rui.galvao@azure.com,Italy,2022-09-21,2485.35,11
CID088,Laura,Gama,laura.gama@gmail.com,Germany,2023-01-10,2185.7,10
CID089,Eva,García,eva.garcia@hotmail.com,France,2022-08-04,2715.15,12
CID090,Julia,Gaspar,julia.gaspar@azure.com,Portugal,2023-03-22,1975.25,10
CID091,Gabriel,Geraldes,gabriel.geraldes@gmail.com,Brazil,2022-05-25,2665.4,12
CID092,Frank,Gomes,frank.gomes@hotmail.com,USA,2023-08-20,1665.35,8
CID093,Rui,Gonçalves,rui.goncalves@azure.com,Italy,2022-10-30,2315.65,11
CID094,Laura,Gouveia,laura.gouveia@gmail.com,Germany,2023-04-14,2095.15,10
CID095,Eva,Graça,eva.graca@hotmail.com,France,2022-02-01,2945.8,12
CID096,Julia,Guedes,julia.guedes@azure.com,Portugal,2023-01-15,2175.4,10
CID097,Gabriel,Guerra,gabrielguerra@gmail.com,Brazil,2022-07-09,2545.25,11
CID098,Frank,Guimarães,frank.guimaraes@hotmail.com,USA,2023-05-18,1815.6,10
CID099,Rui,Henriques,rui.henriques@azure.com,Italy,2022-04-27,2825.3,12
CID100,Laura,Horta,laura.horta@gmail.com,Germany,2023-08-02,1745.25,10
CID101,Eva,Jacinto,eva.jacinto@hotmail.com,France,2022-06-11,2745.65,12
CID102,Julia,Jesus,julia.jesus@azure.com,Portugal,2023-02-27,1925.35,10
CID103,Gabriel,Lacerda,gabriel.lacerda@gmail.com,Brazil,2022-09-04,2445.8,11
CID104,Frank,Lago,frank.lago@hotmail.com,USA,2023-06-11,1875.45,10
CID105,Rui,Lameiras,rui.lameiras@azure.com,Italy,2022-02-12,2885.55,12
CID106,Laura,Leal,laura.leal@gmail.com,Germany,2023-01-24,2165.2,10
CID107,Eva,Leite,eva.leite@hotmail.com,France,2022-08-19,2595.4,11
CID108,Julia,Lema,julia.lema@azure.com,Portugal,2023-05-09,1915.15,10
CID109,Gabriel,Lemos,gabriel.lemos@gmail.com,Brazil,2022-03-08,2855.35,12
CID110,Frank,Lima,frank.lima@hotmail.com,USA,2023-09-15,1615.2,8
CID111,Rui,Lopes,rui.lopes@azure.com,Italy,2022-11-20,2265.45,11
CID112,Laura,Loureiro,laura.loureiro@gmail.com,Germany,2023-02-26,2015.6,10
CID113,Eva,Lourenço,eva.lourenco@hotmail.com,France,2022-01-05,2975.85,12
CID114,Julia,Luz,julia.luz@azure.com,Portugal,2023-07-21,1805.3,10
CID115,Gabriel,Macedo,gabriel.macedo@gmail.com,Brazil,2022-05-14,2645.15,12
CID116,Frank,Machado,frank.machado@hotmail.com,USA,2023-04-03,2055.4,10
CID117,Rui,Magalhães,rui.magalhaes@azure.com,Italy,2022-10-11,2395.25,11
CID118,Laura,Maia,laura.maia@gmail.com,Germany,2023-08-30,1695.55,8
CID119,Eva,Maldonado,eva.maldonado@hotmail.com,France,2022-03-20,2815.6,12
CID120,Julia,Malheiro,julia.malheiro@azure.com,Portugal,2023-02-11,2115.1,10
CID121,Gabriel,Mansores,gabriel.mansores@gmail.com,Brazil,2022-07-16,2525.35,11
CID122,Frank,Marques,frank.marques@hotmail.com,USA,2023-06-05,1855.25,10
CID123,Rui,Martins,rui.martins@azure.com,Italy,2022-01-22,2955.7,12
CID124,Laura,Matias,laura.matias@gmail.com,Germany,2023-03-29,1955.4,10
CID125,Eva,Matos,eva.matos@hotmail.com,France,2022-09-02,2465.15,11
CID126,Julia,Meireles,julia.meireles@azure.com,Portugal,2023-01-20,2145.8,10
CID127,Gabriel,Mello,gabriel.mello@gmail.com,Brazil,2022-05-01,2715.45,12
CID128,Frank,Melo,frank.melo@hotmail.com,USA,2023-08-11,1715.3,8
CID129,Rui,Mendes,rui.mendes@azure.com,Italy,2022-12-14,2225.2,11
CID130,Laura,Mendonça,laura.mendonca@gmail.com,Germany,2023-04-23,2035.65,10
CID131,Eva,Meneses,eva.meneses@hotmail.com,France,2022-02-15,2925.9,12
CID132,Julia,Mesquita,julia.mesquita@azure.com,Portugal,2023-03-05,1905.45,10
CID133,Gabriel,Miranda,gabriel.miranda@gmail.com,Brazil,2022-08-22,2425.1,11
CID134,Frank,Moraes,frank.moraes@hotmail.com,USA,2023-05-28,1845.35,10
CID135,Rui,Moreira,rui.moreira@azure.com,Italy,2022-03-02,2865.5,12
CID136,Laura,Mota,laura.mota@gmail.com,Germany,2023-01-12,2155.15,10
CID137,Eva,Moura,eva.moura@hotmail.com,France,2022-06-25,2735.25,12
CID138,Julia,Nascimento,julia.nascimento@azure.com,Portugal,2023-03-17,1945.6,10
CID139,Gabriel,Neto,gabriel.neto@gmail.com,Brazil,2022-09-28,2385.4,11
CID140,Frank,Neves,frank.neves@hotmail.com,USA,2023-07-03,1795.1,10
CID141,Rui,Nóbrega,rui.nobrega@azure.com,Italy,2022-04-10,2805.85,12
CID142,Laura,Nogueira,laura.nogueira@gmail.com,Germany,2023-09-12,1635.35,8
CID143,Eva,Noronha,eva.noronha@hotmail.com,France,2022-11-18,2205.15,11
CID144,Julia,Novaes,julia.novaes@azure.com,Portugal,2023-02-22,2045.7,10
CID145,Gabriel,Nunes,gabriel.nunes@gmail.com,Brazil,2022-01-02,2995.95,12
CID146,Frank,Oliveira,frank.oliveira@hotmail.com,USA,2023-08-25,1675.25,8
CID147,Rui,Pacheco,rui.pacheco@azure.com,Italy,2022-07-05,2515.45,11
CID148,Laura,Padilha,laura.padilha@gmail.com,Germany,2023-05-18,1885.6,10
CID149,Eva,Paiva,eva.paiva@hotmail.com,France,2022-04-20,2775.2,12
CID150,Julia,Paixão,julia.paixao@azure.com,Portugal,2023-03-14,1965.35,10
CID151,Gabriel,Palma,gabriel.palma@gmail.com,Brazil,2022-08-01,2455.5,11
CID152,Frank,Pamplona,frank.pamplona@hotmail.com,USA,2023-04-26,2005.15,10
CID153,Rui,Paranhos,rui.paranhos@azure.com,Italy,2022-02-05,2915.8,12
CID154,Laura,Passos,laura.passos@gmail.com,Germany,2023-01-08,2125.4,10
CID155,Eva,Pastore,eva.pastore@hotmail.com,France,2022-06-18,2725.65,12
CID156,Julia,Patrício,julia.patricio@azure.com,Portugal,2023-03-29,1935.15,10
CID157,Gabriel,Paula,gabriel.paula@gmail.com,Brazil,2022-09-11,2415.35,11
CID158,Frank,Paz,frank.paz@hotmail.com,USA,2023-06-18,1835.45,10
CID159,Rui,Peixoto,rui.peixoto@azure.com,Italy,2022-02-26,2875.5,12
CID160,Laura,Pena,laura.pena@gmail.com,Germany,2023-02-05,2075.2,10
CID161,Eva,Penha,eva.penha@hotmail.com,France,2022-08-28,2545.4,11
CID162,Julia,Penteado,julia.penteado@azure.com,Portugal,2023-05-24,1875.15,10
CID163,Gabriel,Pereira,gabriel.pereira@gmail.com,Brazil,2022-03-15,2835.35,12
CID164,Frank,Peres,frank.peres@hotmail.com,USA,2023-09-02,1605.6,8
CID165,Rui,Pessoa,rui.pessoa@azure.com,Italy,2022-11-05,2255.45,11
CID166,Laura,Pestana,laura.pestana@gmail.com,Germany,2023-02-15,1995.35,10
CID167,Eva,Pimenta,eva.pimenta@hotmail.com,France,2022-01-10,2965.8,12
CID168,Julia,Pinheiro,julia.pinheiro@azure.com,Portugal,2023-07-25,1785.25,10
CID169,Gabriel,Pinto,gabriel.pinto@gmail.com,Brazil,2022-05-20,2625.15,12
CID170,Frank,Pires,frank.pires@hotmail.com,USA,2023-04-14,2025.4,10
CID171,Rui,Plácido,rui.placido@azure.com,Italy,2022-10-24,2355.25,11
CID172,Laura,Pombal,laura.pombal@gmail.com,Germany,2023-08-20,1655.15,8
CID173,Eva,Ponce,eva.ponce@hotmail.com,France,2022-03-24,2795.6,12
CID174,Julia,Ponte,julia.ponte@azure.com,Portugal,2023-02-18,2095.7,10
CID175,Gabriel,Portela,gabriel.portela@gmail.com,Brazil,2022-07-25,2505.35,11
CID176,Frank,Porto,frank.porto@hotmail.com,USA,2023-06-15,1815.25,10
CID177,Rui,Prado,rui.prado@azure.com,Italy,2022-01-30,2935.7,12
CID178,Laura,Prates,laura.prates@gmail.com,Germany,2023-04-03,1925.4,10
CID179,Eva,Queirós,eva.queiros@hotmail.com,France,2022-09-11,2435.15,11
CID180,Julia,Queiroz,julia.queiroz@azure.com,Portugal,2023-01-24,2125.8,10
CID181,Gabriel,Quental,gabriel.quental@gmail.com,Brazil,2022-05-09,2685.45,12
CID182,Frank,Rego,frank.rego@hotmail.com,USA,2023-08-20,1685.3,8
CID183,Rui,Reis,rui.reis@azure.com,Italy,2022-12-22,2195.2,11
CID184,Laura,Rendeiro,laura.rendeiro@gmail.com,Germany,2023-05-05,2005.65,10
CID185,Eva,Resende,eva.resende@hotmail.com,France,2022-02-23,2895.9,12
CID186,Julia,Ribeiro,julia.ribeiro@azure.com,Portugal,2023-03-12,1875.45,10
CID187,Gabriel,Rios,gabriel.rios@gmail.com,Brazil,2022-08-28,2395.1,11
CID188,Frank,Rocha,frank.rocha@hotmail.com,USA,2023-06-03,1815.35,10
CID189,Rui,Rodrigues,rui.rodrigues@azure.com,Italy,2022-03-08,2835.5,12
CID190,Laura,Romano,laura.romano@gmail.com,Germany,2023-01-15,2135.15,10
CID191,Eva,Rosa,eva.rosa@hotmail.com,France,2022-07-03,2705.25,12
CID192,Julia,Rosado,julia.rosado@azure.com,Portugal,2023-03-24,1915.6,10
CID193,Gabriel,Rosário,gabriel.rosario@gmail.com,Brazil,2022-10-02,2355.4,11
CID194,Frank,Sá,frank.sa@hotmail.com,USA,2023-07-09,1765.1,10
CID195,Rui,Saboia,rui.saboia@azure.com,Italy,2022-04-14,2775.85,12
CID196,Julia,Catela,julia.catela@gmail.com,Portugal,2022-07-25,2675.35,12
CID197,Eva,Cavalheiro,eva.cavalheiro@hotmail.com,USA,2023-06-17,1465.5,8
CID198,Rui,Cavaco,rui.cavaco@azure.com,Brazil,2022-12-11,2425.8,11
CID199,Frank,Cazal,frank.cazal@gmail.com,Italy,2023-03-28,1995.15,10
CID200,Laura,Centeno,laura.centeno@hotmail.com,Germany,2022-02-23,2915.6,12
CID201,Gabriel,Cerdeira,gabriel.cerdeira@azure.com,Portugal,2023-09-05,1625.35,8
CID202,Julia,César,julia.cesar@gmail.com,USA,2022-11-01,2295.7,11
CID203,Eva,Cid,eva.cid@hotmail.com,Brazil,2023-05-14,2025.4,10
CID204,Rui,Cintra,rui.cintra@azure.com,Italy,2022-01-13,2995.85,12
CID205,Frank,Cipriano,frank.cipriano@gmail.com,Germany,2023-08-07,1755.2,10
CID206,Laura,Coelho,laura.coelho@hotmail.com,France,2022-03-12,2845.5,12
CID207,Eva,Coimbra,eva.coimbra@azure.com,Portugal,2022-10-14,2375.45,11
CID208,Julia,Collaço,julia.collaco@gmail.com,Brazil,2023-07-06,1835.35,10
CID209,Gabriel,Conceição,gabriel.conceicao@hotmail.com,USA,2022-09-17,2565.65,12
CID210,Frank,Conde,frank.conde@azure.com,Italy,2023-02-09,1935.25,10
CID211,Rui,Cordeiro,rui.cordeiro@gmail.com,Germany,2022-04-18,2935.65,12
CID212,Laura,Coronel,laura.coronel@hotmail.com,France,2023-09-24,1595.4,8
CID213,Eva,Correa,eva.correa@azure.com,Portugal,2022-11-12,2235.8,11
CID214,Julia,Correia,julia.correia@gmail.com,Brazil,2023-03-15,1985.45,10
CID215,Gabriel,Corte-Real,gabriel.cortereal@hotmail.com,USA,2022-01-26,2965.95,12
CID216,Frank,Cortes,frank.cortes@azure.com,Italy,2023-05-20,2035.15,10
CID217,Rui,Costa,rui.costa@gmail.com,Germany,2022-08-28,2415.8,11
CID218,Laura,Coutinho,laura.coutinho@hotmail.com,France,2023-01-04,2135.2,10
CID219,Eva,Covilhã,eva.covilha@azure.com,Portugal,2022-06-15,2785.4,12
CID220,Julia,Crespo,julia.crespo@gmail.com,Brazil,2023-06-29,1825.1,10
CID221,Gabriel,Cruz,gabriel.cruz@hotmail.com,USA,2022-05-11,2625.3,12
CID222,Frank,Cunha,frank.cunha@azure.com,Italy,2023-07-13,1895.55,10
CID223,Rui,Curado,rui.curado@gmail.com,Germany,2022-02-18,2895.6,12
CID224,Laura,Custódio,laura.custodio@hotmail.com,France,2023-02-14,2045.2,10
CID225,Eva,Dantas,eva.dantas@azure.com,Portugal,2022-09-21,2485.35,11
CID226,Julia,Delgado,julia.delgado@gmail.com,Brazil,2023-01-10,2185.7,10
CID227,Gabriel,Dias,gabriel.dias@hotmail.com,USA,2022-08-04,2715.15,12
CID228,Frank,Dinis,frank.dinis@azure.com,Italy,2023-03-22,1975.25,10
CID229,Rui,Dionísio,rui.dionisio@gmail.com,Germany,2022-05-25,2665.4,12
CID230,Laura,Domingues,laura.domingues@hotmail.com,France,2023-08-20,1665.35,8
CID231,Eva,Donato,eva.donato@azure.com,Portugal,2022-10-30,2315.65,11
CID232,Julia,Dorneles,julia.dorneles@gmail.com,Brazil,2023-04-14,2095.15,10
CID233,Gabriel,Duarte,gabriel.duarte@hotmail.com,USA,2022-02-01,2945.8,12
CID234,Frank,Durão,frank.durao@azure.com,Italy,2023-01-15,2175.4,10
CID235,Rui,Eça,rui.eca@gmail.com,Germany,2022-07-09,2545.25,11
CID236,Laura,Encarnação,laura.encarnacao@hotmail.com,France,2023-05-18,1815.6,10
CID237,Eva,Escobar,eva.escobar@azure.com,Portugal,2022-04-27,2825.3,12
CID238,Julia,Esparteiro,julia.esparteiro@gmail.com,Brazil,2023-08-02,1745.25,10
CID239,Gabriel,Espírito Santo,gabriel.espiritosanto@hotmail.com,USA,2022-06-11,2745.65,12
CID240,Frank,Esteves,frank.esteves@azure.com,Italy,2023-02-27,1925.35,10
CID241,Rui,Evelyn,rui.evelyn@gmail.com,Germany,2022-09-04,2445.8,11
CID242,Laura,Fagundes,laura.fagundes@hotmail.com,France,2023-06-11,1875.45,10
CID243,Eva,Falcão,eva.falcao@azure.com,Portugal,2022-02-12,2885.55,12
CID244,Julia,Faria,julia.faria@gmail.com,Brazil,2023-01-24,2165.2,10
CID245,Gabriel,Farinha,gabriel.farinha@hotmail.com,USA,2022-08-19,2595.4,11
CID246,Frank,Faustino,frank.faustino@azure.com,Italy,2023-05-09,1915.15,10
CID247,Rui,Feijó,rui.feijo@gmail.com,Germany,2022-03-08,2855.35,12
CID248,Laura,Fernandes,laura.fernandes@hotmail.com,France,2023-09-15,1615.2,8
CID249,Eva,Ferrão,eva.ferrao@azure.com,Portugal,2022-11-20,2265.45,11
CID250,Julia,Ferreira,julia.ferreirax@gmail.com,Brazil,2023-02-26,2015.6,10
CID251,Gabriel,Fialho,gabriel.fialho@hotmail.com,USA,2022-01-05,2975.85,12
CID252,Frank,Figueira,frank.figueira@azure.com,Italy,2023-07-21,1805.3,10
CID253,Rui,Figueiredo,rui.figueiredo@gmail.com,Germany,2022-05-14,2645.15,12
CID254,Laura,Filipe,laura.filipe@hotmail.com,France,2023-04-03,2055.4,10
CID255,Eva,Fitas,eva.fitas@azure.com,Portugal,2022-10-11,2395.25,11
CID256,Julia,Flamínio,julia.flaminio@gmail.com,Brazil,2023-08-30,1695.55,8
CID257,Gabriel,Flores,gabriel.flores@hotmail.com,USA,2022-03-20,2815.6,12
CID258,Frank,Fogaça,frank.fogaca@azure.com,Italy,2023-02-11,2115.1,10
CID259,Rui,Fonseca,rui.fonseca@gmail.com,Germany,2022-07-16,2525.35,11
CID260,Laura,Fontes,laura.fontes@hotmail.com,France,2023-06-05,1855.25,10
CID261,Eva,Fortes,eva.fortes@azure.com,Portugal,2022-01-22,2955.7,12
CID262,Julia,Fraga,julia.fraga@gmail.com,Brazil,2023-03-29,1955.4,10
CID263,Gabriel,França,gabriel.franca@hotmail.com,USA,2022-09-02,2465.15,11
CID264,Frank,Franco,frank.franco@azure.com,Italy,2023-01-20,2145.8,10
CID265,Rui,Freire,rui.freire@gmail.com,Germany,2022-05-01,2715.45,12
CID266,Laura,Freitas,laura.freitas@hotmail.com,France,2023-08-11,1715.3,8
CID267,Eva,Frota,eva.frota@azure.com,Portugal,2022-12-14,2225.2,11
CID268,Julia,Furtado,julia.furtado@gmail.com,Brazil,2023-04-23,2035.65,10
CID269,Gabriel,Galvão,gabriel.galvao@hotmail.com,USA,2022-02-15,2925.9,12
CID270,Frank,Gama,frank.gama@azure.com,Italy,2023-03-05,1905.45,10
CID271,Rui,Gante,rui.gante@gmail.com,Germany,2022-08-22,2425.1,11
CID272,Laura,Garcez,laura.garcez@hotmail.com,France,2023-05-28,1845.35,10
CID273,Eva,García,eva.garcia@azure.com,Portugal,2022-03-02,2865.5,12
CID274,Julia,Garrido,julia.garrido@gmail.com,Brazil,2023-01-12,2155.15,10
CID275,Gabriel,Gaspar,gabriel.gaspar@hotmail.com,USA,2022-06-25,2735.25,12
CID276,Frank,Gato,frank.gato@azure.com,Italy,2023-03-17,1945.6,10
CID277,Rui,Gavinho,rui.gavinho@gmail.com,Germany,2022-09-28,2385.4,11
CID278,Laura,Geraldes,laura.geraldes@hotmail.com,France,2023-07-03,1795.1,10
CID279,Eva,Gil,eva.gil@azure.com,Portugal,2022-04-10,2805.85,12
CID280,Julia,Gimenez,julia.gimenez@gmail.com,Brazil,2023-09-12,1635.35,8
CID281,Gabriel,Godinho,gabriel.godinho@hotmail.com,USA,2022-11-18,2205.15,11
CID282,Frank,Góis,frank.gois@azure.com,Italy,2023-02-22,2045.7,10
CID283,Rui,Gomes,rui.gomes@gmail.com,Germany,2022-01-02,2995.95,12
CID284,Laura,Gonçalves,laura.goncalves@hotmail.com,France,2023-08-25,1675.25,8
CID285,Gabriel,Granjo,gabriel.granjo@azure.com,Germany,2023-04-25,2055.35,11
CID286,Julia,Gralho,julia.gralho@gmail.com,Portugal,2022-08-09,2325.15,11
CID287,Eva,Gramacho,eva.gramacho@hotmail.com,USA,2023-07-08,1955.6,10
CID288,Rui,Grangeia,rui.grangeia@azure.com,Brazil,2022-12-02,2755.9,12
CID289,Frank,Guedes,frank.guedes@gmail.com,Italy,2023-02-16,1645.2,8
CID290,Laura,Guimarães,laura.guimaraes@hotmail.com,Germany,2022-06-04,2535.45,11
CID291,Eva,Guterres,eva.guterres@azure.com,France,2023-08-10,1715.35,10
CID292,Julia,Henriques,julia.henriques@gmail.com,Portugal,2022-02-09,2925.75,12
CID293,Gabriel,Horta,gabriel.horta@hotmail.com,Brazil,2023-03-24,1965.45,10
CID294,Frank,Igrejas,frank.igrejas@azure.com,USA,2022-04-20,2775.15,12
CID295,Rui,Ilharco,rui.ilharco@gmail.com,Italy,2023-03-14,1965.25,10
CID296,Laura,Improta,laura.improta@hotmail.com,Germany,2022-07-25,2455.5,11
CID297,Eva,Inácio,eva.inacio@azure.com,France,2023-04-26,2005.15,10
CID298,Julia,Infante,julia.infante@gmail.com,Portugal,2022-02-05,2915.8,12
CID299,Gabriel,Jardim,gabriel.jardim@hotmail.com,Brazil,2023-01-08,2125.4,10
