"customer_id","customer_name","customer_email","type_client","Business_region","first_order","last_order","quantity_orders","customer_span","avg_days_between_orders","customer_risk","customer_loyalty"
"CID061","Gabriel Campos","gabriel.campos@gmail.com","B2C","AMER","2023-10-10","2023-10-10","1","0","0.00","Low Risk","Regular"
"CID062","Frank Cardoso","frank.cardoso@hotmail.com","B2C","AMER","2022-12-28","2023-03-12","3","74","37.00","High Risk","Regular"
"CID043","Gabriel Cardoso","gabriel.cardoso@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID011","Eva Carvalho","eva.carvalho@hotmail.com","B2C","EMEA","2023-09-01","2023-10-04","2","33","33.00","Low Risk","Regular"
"CID034","Laura Carvalho","laura.carvalho@gmail.com","B2C","EMEA","2022-12-08","2023-01-03","2","26","26.00","High Risk","Regular"
"CID063","Rui Castro","rui.castro@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID196","Julia Catela","julia.catela@gmail.com","B2C","EMEA","2022-10-17","2023-02-15","4","121","40.33","High Risk","Loyal"
"CID198","Rui Cavaco","rui.cavaco@azure.com","B2B","AMER","2022-06-29","2023-03-15","3","259","129.50","High Risk","Regular"
"CID064","Laura Cavaco","laura.cavaco@gmail.com","B2C","EMEA","2022-04-19","2022-08-28","2","131","131.00","High Risk","Regular"
"CID197","Eva Cavalheiro","eva.cavalheiro@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID199","Frank Cazal","frank.cazal@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID200","Laura Centeno","laura.centeno@hotmail.com","B2C","EMEA","2022-04-05","2022-06-01","4","57","19.00","High Risk","Loyal"
"CID201","Gabriel Cerdeira","gabriel.cerdeira@azure.com","B2B","EMEA","2023-10-21","2023-10-21","1","0","0.00","Low Risk","Regular"
"CID202","Julia César","julia.cesar@gmail.com","B2C","AMER","2023-01-31","2023-03-08","3","36","18.00","High Risk","Regular"
"CID065","Eva Chaves","eva.chaves@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID203","Eva Cid","eva.cid@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID204","Rui Cintra","rui.cintra@azure.com","B2B","EMEA","2022-04-03","2022-12-12","3","253","126.50","High Risk","Regular"
"CID205","Frank Cipriano","frank.cipriano@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID066","Julia Coelho","julia.coelho@azure.com","B2B","EMEA","2022-09-12","2023-01-19","3","129","64.50","High Risk","Regular"
"CID025","Gabriel Coelho","gabriel.coelho@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID206","Laura Coelho","laura.coelho@hotmail.com","B2C","EMEA","2022-08-12","2022-09-19","3","38","19.00","High Risk","Regular"
"CID207","Eva Coimbra","eva.coimbra@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID208","Julia Collaço","julia.collaco@gmail.com","B2C","AMER","2022-11-14","2022-12-05","3","21","10.50","High Risk","Regular"
"CID209","Gabriel Conceição","gabriel.conceicao@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID210","Frank Conde","frank.conde@azure.com","B2B","EMEA","2022-06-11","2022-06-11","1","0","0.00","High Risk","Regular"
"CID211","Rui Cordeiro","rui.cordeiro@gmail.com","B2C","EMEA","2023-09-05","2023-09-05","1","0","0.00","Medium Risk","Regular"
"CID067","Gabriel Cordeiro","gabriel.cordeiro@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID212","Laura Coronel","laura.coronel@hotmail.com","B2C","EMEA","2023-01-04","2023-03-12","3","67","33.50","High Risk","Regular"
"CID213","Eva Correa","eva.correa@azure.com","B2B","EMEA","2023-07-06","2023-07-06","1","0","0.00","Medium Risk","Regular"
"CID015","Rui Correia","rui.correia@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID068","Frank Correia","frank.correia@hotmail.com","B2C","AMER","2022-09-15","2023-02-22","3","160","80.00","High Risk","Regular"
"CID214","Julia Correia","julia.correia@gmail.com","B2C","AMER","2022-11-10","2022-11-22","3","12","6.00","High Risk","Regular"
"CID215","Gabriel Corte-Real","gabriel.cortereal@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID216","Frank Cortes","frank.cortes@azure.com","B2B","EMEA","2022-05-31","2022-08-22","3","83","41.50","High Risk","Regular"
"CID069","Rui Cortes","rui.cortes@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID030","Julia Costa","julia.costa@azure.com","B2B","EMEA","2022-06-11","2022-09-18","3","99","49.50","High Risk","Regular"
"CID006","Laura Costa","laura.costa@azure.com","B2B","EMEA","2022-11-28","2023-01-25","2","58","58.00","High Risk","Regular"
"CID070","Laura Costa","laura.costa@gmail.com","B2C","EMEA","2022-07-20","2022-12-05","3","138","69.00","High Risk","Regular"
"CID217","Rui Costa","rui.costa@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID218","Laura Coutinho","laura.coutinho@hotmail.com","B2C","EMEA","2022-09-19","2022-11-29","3","71","35.50","High Risk","Regular"
"CID219","Eva Covilhã","eva.covilha@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID220","Julia Crespo","julia.crespo@gmail.com","B2C","AMER","2023-03-09","2023-04-23","3","45","22.50","High Risk","Regular"
"CID221","Gabriel Cruz","gabriel.cruz@hotmail.com","B2C","AMER","2023-07-11","2023-07-11","1","0","0.00","Medium Risk","Regular"
"CID071","Eva Cruz","eva.cruz@hotmail.com","B2C","EMEA","2023-07-29","2023-07-29","1","0","0.00","Medium Risk","Regular"
"CID019","Gabriel Cunha","gabriel.cunha@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID072","Julia Cunha","julia.cunha@azure.com","B2B","EMEA","2022-06-05","2022-09-05","3","92","46.00","High Risk","Regular"
"CID222","Frank Cunha","frank.cunha@azure.com","B2B","EMEA","2022-08-13","2022-09-02","3","20","10.00","High Risk","Regular"
"CID223","Rui Curado","rui.curado@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID224","Laura Custódio","laura.custodio@hotmail.com","B2C","EMEA","2022-11-19","2023-03-12","3","113","56.50","High Risk","Regular"
"CID225","Eva Dantas","eva.dantas@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID073","Gabriel Dantas","gabriel.dantas@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID226","Julia Delgado","julia.delgado@gmail.com","B2C","AMER","2022-07-03","2022-12-15","4","165","55.00","High Risk","Loyal"
"CID074","Frank Dias","frank.dias@hotmail.com","B2C","AMER","2022-08-03","2022-11-26","3","115","57.50","High Risk","Regular"
"CID047","Eva Dias","eva.dias@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID024","Julia Dias","julia.dias@azure.com","B2B","EMEA","2022-11-18","2022-12-04","2","16","16.00","High Risk","Regular"
"CID227","Gabriel Dias","gabriel.dias@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID228","Frank Dinis","frank.dinis@azure.com","B2B","EMEA","2022-11-04","2022-12-25","3","51","25.50","High Risk","Regular"
"CID075","Rui Dinis","rui.dinis@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID229","Rui Dionísio","rui.dionisio@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID230","Laura Domingues","laura.domingues@hotmail.com","B2C","EMEA","2022-05-20","2022-06-09","2","20","20.00","High Risk","Regular"
"CID231","Eva Donato","eva.donato@azure.com","B2B","EMEA","2023-10-14","2023-10-14","1","0","0.00","Low Risk","Regular"
"CID232","Julia Dorneles","julia.dorneles@gmail.com","B2C","AMER","2022-12-25","2023-02-05","3","42","21.00","High Risk","Regular"
"CID233","Gabriel Duarte","gabriel.duarte@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID076","Laura Duarte","laura.duarte@gmail.com","B2C","EMEA","2022-09-12","2022-10-14","3","32","16.00","High Risk","Regular"
"CID234","Frank Durão","frank.durao@azure.com","B2B","EMEA","2022-04-12","2022-04-29","3","17","8.50","High Risk","Regular"
"CID235","Rui Eça","rui.eca@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID236","Laura Encarnação","laura.encarnacao@hotmail.com","B2C","EMEA","2022-08-15","2022-10-15","3","61","30.50","High Risk","Regular"
"CID237","Eva Escobar","eva.escobar@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID238","Julia Esparteiro","julia.esparteiro@gmail.com","B2C","AMER","2022-10-12","2022-11-05","3","24","12.00","High Risk","Regular"
"CID239","Gabriel Espírito Santo","gabriel.espiritosanto@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID240","Frank Esteves","frank.esteves@azure.com","B2B","EMEA","2022-05-12","2022-06-14","3","33","16.50","High Risk","Regular"
"CID077","Eva Esteves","eva.esteves@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID241","Rui Evelyn","rui.evelyn@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID242","Laura Fagundes","laura.fagundes@hotmail.com","B2C","EMEA","2022-12-26","2023-08-22","4","239","79.67","Medium Risk","Loyal"
"CID243","Eva Falcão","eva.falcao@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID078","Julia Faria","julia.faria@azure.com","B2B","EMEA","2022-12-02","2023-04-03","3","122","61.00","High Risk","Regular"
"CID244","Julia Faria","julia.faria@gmail.com","B2C","AMER","2022-10-02","2022-11-05","3","34","17.00","High Risk","Regular"
"CID245","Gabriel Farinha","gabriel.farinha@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID246","Frank Faustino","frank.faustino@azure.com","B2B","EMEA","2022-05-14","2022-11-30","3","200","100.00","High Risk","Regular"
"CID247","Rui Feijó","rui.feijo@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID014","Frank Fernandes","frank.fernandes@hotmail.com","B2C","AMER","2022-09-24","2022-11-22","3","59","29.50","High Risk","Regular"
"CID079","Gabriel Fernandes","gabriel.fernandes@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID248","Laura Fernandes","laura.fernandes@hotmail.com","B2C","EMEA","2022-09-12","2022-12-22","3","101","50.50","High Risk","Regular"
"CID249","Eva Ferrão","eva.ferrao@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID080","Frank Ferreira","frank.ferreira@hotmail.com","B2C","AMER","2022-05-12","2022-08-14","2","94","94.00","High Risk","Regular"
"CID250","Julia Ferreira","julia.ferreirax@gmail.com","B2C","AMER","2022-12-15","2023-02-19","4","66","22.00","High Risk","Loyal"
"CID251","Gabriel Fialho","gabriel.fialho@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID252","Frank Figueira","frank.figueira@azure.com","B2B","EMEA","2022-07-10","2022-07-27","2","17","17.00","High Risk","Regular"
"CID081","Rui Figueiredo","rui.figueiredo@azure.com","B2B","EMEA","2023-10-18","2023-10-18","1","0","0.00","Low Risk","Regular"
"CID253","Rui Figueiredo","rui.figueiredo@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID254","Laura Filipe","laura.filipe@hotmail.com","B2C","EMEA","2022-12-05","2023-01-25","4","51","17.00","High Risk","Loyal"
"CID255","Eva Fitas","eva.fitas@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID256","Julia Flamínio","julia.flaminio@gmail.com","B2C","AMER","2022-08-11","2023-01-25","4","167","55.67","High Risk","Loyal"
"CID257","Gabriel Flores","gabriel.flores@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID258","Frank Fogaça","frank.fogaca@azure.com","B2B","EMEA","2022-11-02","2022-11-18","3","16","8.00","High Risk","Regular"
"CID082","Laura Fonseca","laura.fonseca@gmail.com","B2C","EMEA","2023-01-28","2023-04-18","3","80","40.00","High Risk","Regular"
"CID259","Rui Fonseca","rui.fonseca@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID083","Eva Fontes","eva.fontes@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID260","Laura Fontes","laura.fontes@hotmail.com","B2C","EMEA","2022-03-20","2022-03-29","3","9","4.50","High Risk","Regular"
"CID261","Eva Fortes","eva.fortes@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID084","Julia Fraga","julia.fraga@azure.com","B2B","EMEA","2022-04-15","2022-11-27","2","226","226.00","High Risk","Regular"
"CID262","Julia Fraga","julia.fraga@gmail.com","B2C","AMER","2022-12-12","2023-01-12","3","31","15.50","High Risk","Regular"
"CID263","Gabriel França","gabriel.franca@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID264","Frank Franco","frank.franco@azure.com","B2B","EMEA","2022-05-25","2022-12-02","3","191","95.50","High Risk","Regular"
"CID265","Rui Freire","rui.freire@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID266","Laura Freitas","laura.freitas@hotmail.com","B2C","EMEA","2022-06-14","2022-12-10","3","179","89.50","High Risk","Regular"
"CID085","Gabriel Freitas","gabriel.freitas@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID267","Eva Frota","eva.frota@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID268","Julia Furtado","julia.furtado@gmail.com","B2C","AMER","2022-10-14","2022-10-24","3","10","5.00","High Risk","Regular"
"CID086","Frank Furtado","frank.furtado@hotmail.com","B2C","AMER","2022-07-18","2022-08-08","2","21","21.00","High Risk","Regular"
"CID087","Rui Galvão","rui.galvao@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID269","Gabriel Galvão","gabriel.galvao@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID088","Laura Gama","laura.gama@gmail.com","B2C","EMEA","2022-07-14","2022-12-19","3","158","79.00","High Risk","Regular"
"CID270","Frank Gama","frank.gama@azure.com","B2B","EMEA","2022-08-04","2022-09-24","3","51","25.50","High Risk","Regular"
"CID271","Rui Gante","rui.gante@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID272","Laura Garcez","laura.garcez@hotmail.com","B2C","EMEA","2022-09-25","2022-10-17","3","22","11.00","High Risk","Regular"
"CID089","Eva García","eva.garcia@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID273","Eva García","eva.garcia@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID274","Julia Garrido","julia.garrido@gmail.com","B2C","AMER","2022-11-29","2022-12-22","3","23","11.50","High Risk","Regular"
"CID090","Julia Gaspar","julia.gaspar@azure.com","B2B","EMEA","2022-07-04","2022-09-05","2","63","63.00","High Risk","Regular"
"CID275","Gabriel Gaspar","gabriel.gaspar@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID276","Frank Gato","frank.gato@azure.com","B2B","EMEA","2023-01-22","2023-02-14","3","23","11.50","High Risk","Regular"
"CID277","Rui Gavinho","rui.gavinho@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID091","Gabriel Geraldes","gabriel.geraldes@gmail.com","B2C","AMER","2023-09-09","2023-09-09","1","0","0.00","Medium Risk","Regular"
"CID278","Laura Geraldes","laura.geraldes@hotmail.com","B2C","EMEA","2022-08-22","2022-11-29","3","99","49.50","High Risk","Regular"
"CID279","Eva Gil","eva.gil@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID280","Julia Gimenez","julia.gimenez@gmail.com","B2C","AMER","2022-11-25","2022-12-22","4","27","9.00","High Risk","Loyal"
"CID281","Gabriel Godinho","gabriel.godinho@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID282","Frank Góis","frank.gois@azure.com","B2B","EMEA","2022-08-22","2022-09-29","2","38","38.00","High Risk","Regular"
"CID092","Frank Gomes","frank.gomes@hotmail.com","B2C","AMER","2022-12-15","2023-02-28","3","75","37.50","High Risk","Regular"
"CID002","Julia Gomes","julia.gomes@hotmail.com","B2C","EMEA","2022-10-18","2022-11-05","2","18","18.00","High Risk","Regular"
"CID283","Rui Gomes","rui.gomes@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID093","Rui Gonçalves","rui.goncalves@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID284","Laura Gonçalves","laura.goncalves@hotmail.com","B2C","EMEA","2022-05-15","2022-09-09","4","117","39.00","High Risk","Loyal"
"CID094","Laura Gouveia","laura.gouveia@gmail.com","B2C","EMEA","2022-11-15","2023-01-12","2","58","58.00","High Risk","Regular"
"CID095","Eva Graça","eva.graca@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID286","Julia Gralho","julia.gralho@gmail.com","B2C","EMEA","2022-09-19","2022-11-02","4","44","14.67","High Risk","Loyal"
"CID287","Eva Gramacho","eva.gramacho@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID288","Rui Grangeia","rui.grangeia@azure.com","B2B","AMER","2022-12-15","2023-01-11","3","27","13.50","High Risk","Regular"
"CID285","Gabriel Granjo","gabriel.granjo@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID096","Julia Guedes","julia.guedes@azure.com","B2B","EMEA","2022-05-20","2022-12-25","3","219","109.50","High Risk","Regular"
"CID289","Frank Guedes","frank.guedes@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID097","Gabriel Guerra","gabrielguerra@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID021","Rui Guimarães","rui.guimaraes@azure.com","B2B","EMEA","2023-09-02","2023-09-02","1","0","0.00","Medium Risk","Regular"
"CID098","Frank Guimarães","frank.guimaraes@hotmail.com","B2C","AMER","2022-09-02","2023-01-12","3","132","66.00","High Risk","Regular"
"CID290","Laura Guimarães","laura.guimaraes@hotmail.com","B2C","EMEA","2022-08-03","2022-08-06","3","3","1.50","High Risk","Regular"
"CID291","Eva Guterres","eva.guterres@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID099","Rui Henriques","rui.henriques@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID292","Julia Henriques","julia.henriques@gmail.com","B2C","EMEA","2022-05-19","2022-09-18","3","122","61.00","High Risk","Regular"
"CID100","Laura Horta","laura.horta@gmail.com","B2C","EMEA","2023-03-12","2023-05-18","3","67","33.50","High Risk","Regular"
"CID293","Gabriel Horta","gabriel.horta@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID294","Frank Igrejas","frank.igrejas@azure.com","B2B","AMER","2022-11-22","2022-11-22","1","0","0.00","High Risk","Regular"
"CID295","Rui Ilharco","rui.ilharco@gmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID296","Laura Improta","laura.improta@hotmail.com","B2C","EMEA","2022-10-15","2022-11-09","2","25","25.00","High Risk","Regular"
"CID297","Eva Inácio","eva.inacio@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID298","Julia Infante","julia.infante@gmail.com","B2C","EMEA","2023-01-11","2023-01-11","1","0","0.00","High Risk","Regular"
"CID101","Eva Jacinto","eva.jacinto@hotmail.com","B2C","EMEA","2023-07-02","2023-07-02","1","0","0.00","Medium Risk","Regular"
"CID299","Gabriel Jardim","gabriel.jardim@hotmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID102","Julia Jesus","julia.jesus@azure.com","B2B","EMEA","2022-08-11","2022-11-15","3","96","48.00","High Risk","Regular"
"CID103","Gabriel Lacerda","gabriel.lacerda@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID104","Frank Lago","frank.lago@hotmail.com","B2C","AMER","2022-12-05","2023-03-19","3","104","52.00","High Risk","Regular"
"CID105","Rui Lameiras","rui.lameiras@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID106","Laura Leal","laura.leal@gmail.com","B2C","EMEA","2022-09-09","2022-11-30","3","82","41.00","High Risk","Regular"
"CID107","Eva Leite","eva.leite@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID108","Julia Lema","julia.lema@azure.com","B2B","EMEA","2022-11-02","2022-11-20","3","18","9.00","High Risk","Regular"
"CID109","Gabriel Lemos","gabriel.lemos@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID110","Frank Lima","frank.lima@hotmail.com","B2C","AMER","2022-04-28","2022-07-21","2","84","84.00","High Risk","Regular"
"CID111","Rui Lopes","rui.lopes@azure.com","B2B","EMEA","2023-10-24","2023-10-24","1","0","0.00","Low Risk","Regular"
"CID112","Laura Loureiro","laura.loureiro@gmail.com","B2C","EMEA","2022-12-11","2023-04-23","3","133","66.50","High Risk","Regular"
"CID113","Eva Lourenço","eva.lourenco@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID114","Julia Luz","julia.luz@azure.com","B2B","EMEA","2022-04-30","2022-12-15","3","229","114.50","High Risk","Regular"
"CID115","Gabriel Macedo","gabriel.macedo@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID116","Frank Machado","frank.machado@hotmail.com","B2C","AMER","2022-08-08","2023-02-21","3","197","98.50","High Risk","Regular"
"CID046","Laura Machado","laura.machado@gmail.com","B2C","EMEA","2022-09-03","2022-11-26","3","84","42.00","High Risk","Regular"
"CID023","Eva Machado","eva.machado@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID117","Rui Magalhães","rui.magalhaes@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID118","Laura Maia","laura.maia@gmail.com","B2C","EMEA","2022-06-22","2022-11-12","3","143","71.50","High Risk","Regular"
"CID119","Eva Maldonado","eva.maldonado@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID120","Julia Malheiro","julia.malheiro@azure.com","B2B","EMEA","2022-06-11","2022-09-05","3","86","43.00","High Risk","Regular"
"CID121","Gabriel Mansores","gabriel.mansores@gmail.com","B2C","AMER","2023-08-25","2023-08-25","1","0","0.00","Medium Risk","Regular"
"CID122","Frank Marques","frank.marques@hotmail.com","B2C","AMER","2022-10-09","2023-06-11","3","245","122.50","High Risk","Regular"
"CID022","Laura Marques","laura.marques@gmail.com","B2C","EMEA","2022-03-20","2022-05-12","3","53","26.50","High Risk","Regular"
"CID045","Rui Marques","rui.marques@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID123","Rui Martins","rui.martins@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID003","Gabriel Martins","gabriel.martins@azure.com","B2B","EMEA","2022-07-19","2022-07-19","1","0","0.00","High Risk","Regular"
"CID124","Laura Matias","laura.matias@gmail.com","B2C","EMEA","2022-11-02","2022-11-25","2","23","23.00","High Risk","Regular"
"CID125","Eva Matos","eva.matos@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID126","Julia Meireles","julia.meireles@azure.com","B2B","EMEA","2022-05-22","2022-08-15","3","85","42.50","High Risk","Regular"
"CID127","Gabriel Mello","gabriel.mello@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID128","Frank Melo","frank.melo@hotmail.com","B2C","AMER","2022-09-19","2022-10-19","3","30","15.00","High Risk","Regular"
"CID017","Eva Mendes","eva.mendes@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID040","Laura Mendes","laura.mendes@gmail.com","B2C","EMEA","2023-01-05","2023-04-12","3","97","48.50","High Risk","Regular"
"CID129","Rui Mendes","rui.mendes@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID130","Laura Mendonça","laura.mendonca@gmail.com","B2C","EMEA","2023-01-18","2023-04-11","3","83","41.50","High Risk","Regular"
"CID131","Eva Meneses","eva.meneses@hotmail.com","B2C","EMEA","2023-07-11","2023-07-11","1","0","0.00","Medium Risk","Regular"
"CID132","Julia Mesquita","julia.mesquita@azure.com","B2B","EMEA","2022-07-14","2022-12-02","3","141","70.50","High Risk","Regular"
"CID133","Gabriel Miranda","gabriel.miranda@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID134","Frank Moraes","frank.moraes@hotmail.com","B2C","AMER","2022-12-05","2023-02-12","3","69","34.50","High Risk","Regular"
"CID135","Rui Moreira","rui.moreira@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
